danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.794,0.534,8,-6.47,0,0.131,0.885,5.18e-05,0.314,0.547,91.871,162377,4
0.733,0.553,7,-13.924,1,0.0382,0.252,0.00257,0.147,0.934,124.993,266267,2
0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,199693,0
0.394,0.989,7,-1.196,1,0.0795,0.0114,0.0961,0.337,0.23,127.983,178125,5
0.69,0.76,1,-5.431,1,0.0895,0.0525,0.0,0.134,0.0797,125.013,154929,1
0.588,0.731,2,-8.299,1,0.0398,0.016,0.184,0.333,0.606,106.177,183373,2
0.832,0.838,1,-3.253,0,0.221,0.00124,0.878,0.824,0.325,127.997,186250,5
0.44,0.635,11,-6.385,1,0.0326,0.129,0.0,0.121,0.327,128.133,207095,0
0.646,0.564,7,-5.396,1,0.0832,0.00685,0.108,0.291,0.48,143.957,277667,4
0.81,0.826,0,-6.18,1,0.0519,0.0211,0.755,0.0682,0.731,119.998,253000,5
0.569,0.855,10,-4.118,0,0.285,0.0123,0.0,0.332,0.866,86.021,255173,1
0.304,0.901,9,-7.756,1,0.0602,0.00105,0.000376,0.158,0.541,147.199,199453,2
0.794,0.695,5,-7.045,0,0.245,0.0182,0.00156,0.0972,0.774,80.999,191293,1
0.781,0.578,8,-6.928,0,0.0397,0.118,0.0,0.129,0.517,113.978,201551,0
0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,273107,1
0.262,0.897,4,-2.712,0,0.398,0.0237,0.0,0.11,0.253,199.651,153104,1
0.906,0.63,0,-8.071,1,0.0575,0.000547,0.616,0.0994,0.342,122.458,239253,0
0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,0
0.692,0.856,9,-9.495,1,0.0407,0.364,0.867,0.0641,0.274,134.972,512000,2
0.428,0.621,3,-5.675,0,0.0339,0.014,0.0,0.0906,0.271,90.025,234667,5
0.761,0.791,1,-6.392,1,0.323,0.201,0.0,0.107,0.783,174.047,223970,1
0.639,0.554,11,-12.265,1,0.0769,0.0965,0.000866,0.167,0.327,123.888,193548,0
0.658,0.934,8,-1.965,0,0.101,0.0123,0.000231,0.137,0.209,127.957,296250,5
0.808,0.692,11,-12.104,1,0.05,0.0208,9.14e-05,0.218,0.772,106.954,229213,4
0.724,0.859,1,-6.453,1,0.0662,0.027,0.808,0.403,0.23,124.013,199427,5
0.813,0.456,1,-7.667,0,0.0685,0.169,2.85e-06,0.105,0.587,108.801,179293,4
0.373,0.57,5,-11.56,1,0.0441,0.497,0.0124,0.128,0.631,81.28,215693,2
0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437,267733,2
0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,0
0.766,0.839,1,-5.123,1,0.041,0.0049,0.0108,0.114,0.113,124.992,232275,1
0.561,0.8,8,-4.576,1,0.0324,0.0709,0.000133,0.0934,0.399,96.989,204504,3
0.754,0.701,9,-4.504,1,0.304,0.327,0.0,0.121,0.448,122.297,184646,1
0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,2
0.813,0.703,11,-5.077,0,0.268,0.125,1.26e-06,0.237,0.241,94.828,224533,1
0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,3
0.715,0.787,6,-5.253,1,0.0681,0.247,0.0,0.106,0.567,91.978,224027,3
0.684,0.563,8,-9.244,1,0.115,0.151,0.000626,0.121,0.564,155.145,253733,2
0.66,0.765,7,-7.121,1,0.245,0.227,0.0,0.376,0.771,151.074,208600,1
0.597,0.797,4,-6.747,1,0.0281,0.00535,6.18e-05,0.147,0.544,137.002,213625,2
0.597,0.931,7,-4.026,0,0.0329,0.000636,0.821,0.0593,0.267,128.031,285089,5
0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,264707,2
0.778,0.578,9,-7.22,0,0.274,0.432,0.0,0.138,0.758,84.487,252747,1
0.419,0.861,1,-4.12,0,0.0456,0.00945,0.0,0.0682,0.374,77.459,236129,2
0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333,2
