danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.399,0.53,10,-7.176,0,0.0532,0.479,1.36e-06,0.0719,0.351,76.827,307053,3
0.834,0.823,8,-4.603,1,0.0716,0.09,0.000101,0.0561,0.872,128.006,166523,0
0.629,0.58,7,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,210300,4
0.641,0.795,7,-5.294,1,0.299,0.0039,2.67e-06,0.627,0.457,114.993,254678,4
0.871,0.43,5,-10.359,1,0.0484,0.561,1.38e-05,0.0564,0.663,119.969,254000,3
0.717,0.599,11,-11.471,0,0.116,0.299,0.00404,0.0594,0.22,81.027,136150,1
0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,0
0.795,0.877,9,-5.394,0,0.0526,0.00165,0.919,0.0881,0.658,128.018,254999,5
0.906,0.44,10,-12.278,0,0.252,0.014,1.33e-05,0.178,0.771,93.663,184387,3
0.9,0.781,1,-5.452,1,0.159,0.108,0.0,0.0513,0.79,135.025,165150,1
0.584,0.898,1,-4.884,1,0.216,0.0259,0.331,0.451,0.081,127.97,200391,5
0.194,0.132,11,-15.783,1,0.0349,0.919,0.182,0.159,0.04,74.848,321680,2
0.729,0.726,5,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,217130,1
0.552,0.702,1,-7.127,1,0.0493,0.0603,0.00142,0.129,0.352,100.052,245480,3
0.574,0.976,1,-3.317,1,0.0528,0.00087,2.98e-05,0.465,0.402,127.99,172503,5
0.621,0.838,5,-5.28,1,0.0342,0.0942,0.076,0.176,0.186,128.015,243974,5
0.656,0.842,7,-6.453,1,0.0647,0.0169,0.821,0.182,0.73,131.982,211031,5
0.517,0.97,8,-2.932,1,0.0853,0.00559,0.0343,0.0581,0.601,134.336,234907,2
0.601,0.499,10,-10.657,0,0.0536,0.0171,0.000453,0.171,0.515,80.101,253360,3
0.612,0.843,8,-4.552,1,0.0431,0.152,0.00163,0.402,0.322,125.997,181187,0
0.824,0.756,7,-3.538,0,0.0835,0.0109,0.904,0.04,0.762,127.981,204375,5
0.478,0.996,11,-2.996,0,0.188,1.4e-05,0.0,0.304,0.116,75.959,230748,2
0.662,0.653,2,-6.152,1,0.0526,0.19,2.65e-05,0.117,0.159,137.985,210435,1
0.602,0.91,8,-4.531,1,0.0525,0.000717,3.87e-05,0.132,0.659,128.041,246637,2
0.573,0.372,6,-11.632,0,0.402,0.568,0.00545,0.0884,0.436,144.674,202411,1
0.71,0.741,2,-10.726,1,0.0746,0.141,0.0,0.0825,0.922,139.948,235227,2
0.535,0.86,11,-5.976,0,0.368,0.0575,0.00371,0.137,0.386,89.508,189280,1
0.789,0.524,1,-7.942,0,0.273,0.212,0.0,0.221,0.343,138.064,147600,1
0.394,0.794,4,-4.369,1,0.0716,0.272,0.0,0.103,0.585,81.621,207347,4
0.568,0.686,11,-4.901,0,0.0903,0.133,0.0,0.11,0.4,148.294,208733,4
0.346,0.765,8,-8.558,1,0.0413,0.00229,7.54e-06,0.213,0.644,106.463,284427,2
0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,188533,2
0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,195707,0
0.882,0.777,5,-4.445,1,0.0504,0.354,0.0,0.135,0.533,121.985,456940,1
0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,229107,3
0.571,0.953,3,-5.002,1,0.0568,0.124,5.57e-06,0.35,0.682,135.599,169027,2
0.729,0.773,0,-2.486,1,0.131,0.611,0.00106,0.287,0.718,176.053,199091,1
0.756,0.69,10,-3.87,0,0.0656,0.329,0.0,0.0586,0.783,162.005,213312,3
0.505,0.579,2,-7.231,1,0.0324,0.576,0.0,0.0903,0.439,141.655,240739,4
0.692,0.285,7,-14.687,1,0.106,0.548,0.0,0.0978,0.278,119.949,145625,0
0.637,0.721,9,-6.22,1,0.0305,0.19,0.0,0.181,0.568,150.258,199440,2
0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467,2
0.511,0.613,11,-8.344,0,0.312,0.112,0.0,0.0857,0.426,174.783,150813,0
0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,0.255,179.722,186480,2
0.876,0.55,2,-5.464,1,0.152,0.0227,4.52e-05,0.294,0.557,129.924,201532,3
0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,0
0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707,2
0.627,0.856,0,-6.137,1,0.0325,0.00122,0.0,0.247,0.909,95.999,229493,2
0.732,0.746,0,-6.435,1,0.146,0.675,1.86e-05,0.386,0.561,102.999,153066,4
0.717,0.752,0,-6.933,1,0.065,0.251,0.000468,0.0802,0.14,123.97,281267,5
0.699,0.633,6,-6.547,1,0.0362,0.0453,0.0,0.101,0.458,123.449,184533,0
0.548,0.593,11,-9.895,0,0.0908,0.445,3.05e-05,0.094,0.507,78.527,289042,4
0.49,0.776,9,-7.367,1,0.033,0.000239,0.00911,0.0881,0.709,160.052,255520,2
0.686,0.539,6,-7.172,1,0.121,0.0764,0.0,0.0787,0.627,180.071,242390,1
0.566,0.936,8,-3.169,0,0.334,0.166,0.00363,0.0979,0.77,186.104,187710,4
0.71,0.964,1,-1.257,0,0.0502,0.0314,0.0145,0.294,0.72,128.068,163000,5
0.571,0.94,1,-3.638,1,0.092,0.0115,0.0128,0.583,0.537,149.924,252800,1
0.564,0.874,11,-2.973,0,0.0395,0.0423,0.0901,0.105,0.402,149.996,168000,5
0.667,0.627,6,-10.488,0,0.0654,0.0972,5.19e-05,0.111,0.784,186.081,232560,4
0.353,0.0811,3,-14.573,1,0.0351,0.966,2.27e-06,0.104,0.356,173.415,187933,0
0.566,0.796,8,-9.035,1,0.0369,0.00387,0.667,0.114,0.51,133.007,413547,0
0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,1
0.666,0.723,1,-6.164,1,0.268,0.0109,0.00047,0.0507,0.739,192.024,210893,0
0.7,0.71,5,-4.351,1,0.0394,0.304,0.0,0.105,0.452,80.515,352280,1
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,0
0.625,0.398,9,-10.218,0,0.0338,0.279,0.747,0.0893,0.265,86.992,266820,0
0.703,0.874,11,-10.801,0,0.0566,0.0705,4.84e-06,0.0947,0.939,146.987,225133,0
0.574,0.94,0,-4.508,1,0.0495,0.00315,0.623,0.15,0.221,126.015,254286,5
0.639,0.856,4,-4.136,0,0.183,0.0337,2.33e-06,0.178,0.231,128.024,171562,5
0.59,0.317,7,-15.014,1,0.0307,0.000877,0.000867,0.0745,0.33,99.81,211440,2
0.619,0.799,3,-5.014,1,0.174,0.298,0.0,0.133,0.742,176.219,157859,1
0.727,0.722,7,-9.191,1,0.22,0.194,0.000329,0.11,0.492,100.001,228818,4
0.645,0.86,0,-5.694,1,0.055,0.0252,0.0,0.246,0.584,147.06,159039,0
0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,190185,0
0.741,0.719,7,-7.577,0,0.274,0.453,0.000952,0.273,0.275,98.264,171500,1
0.88,0.74,5,-8.848,0,0.0327,0.201,3.57e-05,0.0772,0.981,119.985,173195,0
